,model,model_that_generated_system_prompt,accuracy,precision,recall,bootstrap_std
0,openai/gpt-4,chatgpt,0.592,0.7446808510638298,0.28,0.021629246034016076
1,openai/gpt-4,claude,0.544,0.6447368421052632,0.196,0.022795619842417084
2,openai/gpt-4o,chatgpt,0.37,0.0,0.0,0.02212304780087952
3,openai/gpt-4o-mini,claude,0.6,0.9310344827586207,0.216,0.02205496542731365
4,anthropic/claude-3-haiku-20240307,chatgpt,0.802,0.745928338762215,0.916,0.018179970407016598
5,anthropic/claude-3-5-sonnet-20240620,claude,0.976,0.9612403100775194,0.992,0.006742756409659189
6,openai/gpt-4o,chatgpt,0.364,0.014285714285714285,0.004,0.02116732491364934
7,openai/gpt-4o-mini,claude,0.568,0.9047619047619048,0.152,0.021100937514717186
8,anthropic/claude-3-haiku-20240307,chatgpt,0.898,0.8726591760299626,0.932,0.013836883897756763
9,anthropic/claude-3-5-sonnet-20240620,claude,0.978,1.0,0.956,0.006475588313041532
